open	high	low	fluctuation range	close	day range	adj_close
164.899994	170.399994	155	15.399994	164.300003	0.599991	151.841385
167	168.699997	164.5	4.199997	167	0	154.336624
167.75	174.850006	166.25	8.600006	173.350006	5.600006	160.205124
174.25	179.25	174.25	5	177.949997	3.699997	164.456314
200	200	173	27	176.199997	23.800003	162.839005
176.449997	179.100006	175.350006	3.75	177.100006	0.650009	163.670731
177.5	178	170.649994	7.350006	172.199997	5.300003	159.142303
165	171.899994	160	11.899994	167.399994	2.399994	154.706299
169	169.399994	163.050003	6.349991	164.899994	4.100006	152.395859
164	169.149994	162.100006	7.049988	167.25	3.25	154.567673
170.5	178	169.800003	8.199997	174.699997	4.199997	161.452744
175.899994	177	172.850006	4.149994	174.100006	1.799988	160.898239
174.399994	175	172.100006	2.899994	173.649994	0.75	160.482376
188	188	175.100006	12.899994	178.850006	9.149994	165.28804
179.949997	182.899994	179.100006	3.799988	180.300003	0.350006	166.628128
181.25	184.75	180.100006	4.649994	181.100006	0.149994	167.367447
181.699997	183.649994	179.649994	4	180.850006	0.849991	167.136398
182	189	178.75	10.25	187.149994	5.149994	172.958664
187.850006	198.5	185	13.5	197.600006	9.75	182.616257
199	203.449997	192.850006	10.599991	193.600006	5.399994	178.919586
191.5	197.5	189.850006	7.649994	191.600006	0.100006	177.071228
193.5	196	192.25	3.75	195.399994	1.899994	180.583069
197	198.899994	196	2.899994	197.149994	0.149994	182.200363
198.100006	203.800003	196	7.800003	202.199997	4.099991	186.867462
203.800003	212	203.5	8.5	210.449997	6.649994	194.491867
213	219.5	212	7.5	217.800003	4.800003	201.284546
223	224.399994	215	9.399994	216.550003	6.449997	200.129318
218.100006	221	215.399994	5.600006	216.899994	1.200012	200.452728
219.850006	219.899994	215	4.899994	215.649994	4.200012	199.297546
217.399994	226.449997	217.300003	9.149994	225	7.600006	207.938538
227	228.899994	223.300003	5.599991	227.949997	0.949997	210.664856
228.050003	232.800003	225.899994	6.900009	229.300003	1.25	211.912491
230	231.449997	216.100006	15.349991	221.050003	8.949997	204.288101
217	235	217	18	232.449997	15.449997	214.823624
235.399994	237.600006	233	4.600006	234.300003	1.099991	216.533371
235.75	235.75	226	9.75	228.050003	7.699997	210.757309
